key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
7,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"울다하 시민은 물론<hex:02100103>다양한 사람들에게서 들어온 일감을<hex:02100103>길드 의뢰로 발행하고 있습니다.","혹시 일을 찾고 계신가요?<hex:02100103>저희는 경험 많은 모험가분들께<hex:02100103>'길드 의뢰'를 발행하고 있습니다.<hex:02100103>모험가 길드 운영을 맡고 계신<hex:02100103><hex:02092AE802FF0E>바데론 씨<hex:FF08>뮨 님<hex:FF0E>모모디 님<hex:03>의 소개만 있으면 수주가 가능하니<hex:02100103>언제든 찾아오시기 바랍니다.","그럼 열심히 하세요.<hex:02100103>좋은 소식 기다리겠습니다.","혹시 일을 찾고 계신가요?<hex:02100103>저흰 경험 많은 모험가분께<hex:02100103>'길드 의뢰'를 발행하고 있습니다.<hex:02100103>당신이 이 부근 마물을<hex:02100103>가볍게 쓰러뜨릴 정도로 강해지면<hex:02100103>꼭 와서 의뢰를 받아주시기 바랍니다.","어서 오십시오.<hex:02100103>임무를 무사히 달성하고 오신 것 같군요……<hex:02100103>수고하셨습니다. 보상을 지급하죠.","0","0","현상수배범까지 토벌하시다니 놀랍습니다.<hex:02100103>보통 일이 아니었을 텐데, 정말 고생하셨습니다.<hex:02100103>아무쪼록 이 보상을 받아주십시오."
8,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"안녕하세요.<hex:02100103>저는 이 주변 주민들에게 들어온 일감을<hex:02100103>길드 의뢰로 발행하고 있습니다.","안녕하세요.<hex:02100103>저는 이 주변 주민들에게 들어온 일감을<hex:02100103>길드 의뢰로 발행하고 있습니다.<hex:02100103>하지만, <hex:020936E802FF11>차모크리 님<hex:FF0E>공트랑 님<hex:FF11>유스태스 님<hex:03>께<hex:02100103>일을 받을 수 있을 정도의 역량은 필요하죠.<hex:02100103>그래야 저도 믿고 일을 맡길 수 있으니까요.","그럼 멋진 활약 기대하겠습니다.","안녕하세요.<hex:02100103>저는 이 주변 주민들에게 들어온 의뢰를<hex:02100103>길드 의뢰로 발행하고 있습니다.<hex:02100103>하지만 이 주변 마물을<hex:02100103>쉽게 퇴치할 수 있을 정도의 역량은 필요하죠.<hex:02100103>그래야 저도 믿고 일을 맡길 수 있으니까요.","의뢰를 달성하고 오셨군요.<hex:02100103>이걸로 의뢰인도 만족하시겠죠.<hex:02100103>자, 그럼 가장 중요한 보상을 드리겠습니다.","0","0","현상수배범까지 토벌하셨다고요? 정말 대단하시군요!<hex:02100103>그렇다면 보상을 더 얹어 드려야겠네요.<hex:02100103>축하합니다."
9,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"마른뼈 황야 일대에서 들어오는 각종 일감을<hex:02100103>길드 의뢰로 발행하고 있습니다.","모험가 길드 동지시군요?<hex:02100103>저희는 경험 많은 모험가 대상으로 '길드 의뢰'를<hex:02100103>발행하고 있습니다.<hex:02100103>하지만 길드 운영을 책임지시는<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 님 소개가 필요하죠.<hex:02100103>그래야 믿고 맡길 수 있으니까요.","그럼 다녀오세요.<hex:02100103>아무쪼록 조심하시고요.","모험가 길드 동지시군요?<hex:02100103>저희는 경험 많은 모험가 대상으로 '길드 의뢰'를<hex:02100103>발행하고 있습니다.<hex:02100103>하지만 우선 마른뼈 황야 주변 마물에게<hex:02100103>지지 않을 실력을 기르셔야 하죠.<hex:02100103>그래야 믿고 맡길 수 있으니까요.","달성 보고 때문에 오셨군요?<hex:02100103>수고하셨습니다, 바로 보상을 드릴게요.<hex:02100103>의뢰인은 물론 길드 입장에서도 만족스러운 결과네요.","0","0","수배 중이던 현상범까지 토벌하시다니…….<hex:02100103>정말 생각지 못한 성과를 올리고 오셨군요!<hex:02100103>보상을 더 드려야겠어요!"
10,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"주변 주민들이 모험가 길드에 맡긴 일감을<hex:02100103>길드 의뢰로 발행하고 있습니다.","실력 좋은 모험가님들 대상으로<hex:02100103>'길드 의뢰'를 발행하고 있습니다.<hex:02100103>돈이 필요한 분들께 안성맞춤이죠.<hex:02100103>우선 <hex:020936E802FF11>차모크리 님<hex:FF0E>공트랑 님<hex:FF11>유스태스 님<hex:03>께서<hex:02100103>부담 없이 의뢰하실 정도로 신용을 얻어주세요.<hex:02100103>그러면 저희도 당신에게 일감을 드릴게요.","다녀오세요.<hex:02100103>멋진 모험담을 가지고 돌아오시길.","실력있는 모험가분에게<hex:02100103>'길드 의뢰'를 발행하고 있습니다.<hex:02100103>돈이 필요한 분에겐 안성맞춤이죠.<hex:02100103>우선 이 주변 마물을<hex:02100103>간단하게 쓰러뜨릴 수 있을 정도로 실력을 기르세요.<hex:02100103>그럼 당신에게 일을 소개해 드리죠.","돌아오셨군요! 수고하셨습니다.<hex:02100103>의뢰인도 무척 기뻐하실 겁니다.<hex:02100103>자, 보상을 받으세요.","0","0","예? 현상수배범을 토벌하고 오셨다고요?<hex:02100103>후후후, 보상을 아주 듬뿍 드려야겠네요."
11,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"맥주 항구 주민을 비롯해<hex:02100103>주변 지역에서 들어온 일감을<hex:02100103>길드 의뢰로 발행하고 있습니다.","실력 좋은 모험가님 대상으로<hex:02100103>'길드 의뢰'를 발행하고 있습니다.<hex:02100103>하지만 누구나 일감을 받을 수 있는 건 아니에요.<hex:02100103>길드를 대표하는<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 님의 소개가 필요하죠.<hex:02100103>그게 가장 기본적인 조건이거든요.","무사히 달성하고 오시길 기원합니다.","실력 좋은 모험가님 대상으로<hex:02100103>'길드 의뢰'를 발행하고 있습니다.<hex:02100103>하지만 누구나 일감을 받을 수 있는 건 아니에요.<hex:02100103>우선 이 주변에 있는 무서운 마물에게<hex:02100103>지지 않을 정도로 강해지셔야 하죠.<hex:02100103>그게 가장 기본적인 조건이거든요.","임무를 무사히 마치고 오신 것 같군요.<hex:02100103>수고하셨습니다, 보상을 지급해 드릴게요.<hex:02100103>의뢰인도 분명 만족하실 거예요.","0","0","음? 수배 중이던 현상범 토벌에 성공하셨군요!<hex:02100103>대단한 활약입니다…… 보상을 더 드려야겠네요.<hex:02100103>정말 수고 많으셨습니다."
12,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"너도 이제 제법 모험가 태가 나는걸.<hex:02100103>길드 의뢰로 한몫 잡아볼 생각 없어?<hex:02100103>너한테 딱 맞는 일이 들어왔거든.","난 모험가 길드의 '길드 의뢰' 담당관이지.<hex:02100103>보아하니 넌 아직 새내기 모험가 같은데.<hex:02100103><hex:02170103>길드 운영을 맡고 있는 <hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03>에게 네 실력을 인정받아서<hex:02100103>'길드 의뢰'를 소개해달라고 해.<hex:02100103>그 뒤에 다시 오면 일자리를 줄 테니까.","그럼 믿고 맡길게.<hex:02100103>너한테 거는 기대가 크니까 실수하지 마!","난 모험가 길드의 '길드 의뢰' 담당관이지.<hex:02100103>보아하니 넌 아직 새내기 모험가 같은데.<hex:02100103><hex:02170103>길드 운영을 맡고 있는 <hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03>에게 네 실력을 인정받아서<hex:02100103>'길드 의뢰'를 소개해달라고 해.<hex:02100103>그 뒤에 다시 오면 일자리를 줄 테니까.","오, 그 의기양양한 표정. 잘 풀린 모양이지?<hex:02100103>제법 실력이 괜찮은걸.<hex:02100103>자 받아, 약속했던 보상이야!","0","0","현상수배범까지 토벌했다고?<hex:02100103>생각보다 더 실력이 좋은 모양이군.<hex:02100103>자, 추가 보상도 넣었으니 받아가!"
13,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"이 근처 사는 녀석들이 맡긴 일감을<hex:02100103>길드 의뢰로 발행하고 있지.","흠, 일감을 찾는 모양인데<hex:02100103>지금 실력으로는 힘들겠어.<hex:02100103><hex:02170103>우선 모험가 길드를 대표하는 <hex:02100103><hex:020927E802FF0D>바데론이<hex:FF07>뮨이<hex:FF0D>모모디가<hex:03> 인정할 정도로<hex:02100103>강해져야 할 것 같군.","무운을 빈다.","흠, 일감을 찾는 모양인데<hex:02100103>지금 실력으로는 힘들겠어.<hex:02100103><hex:02170103>네가 이 주변에서 어슬렁대는 마물에게<hex:02100103>지지 않을 정도로 강해지면<hex:02100103>내가 얼마든지 일을 소개해주지.","오, 수고했어.<hex:02100103>깔끔하게 해결했군……<hex:02100103>자, 약속했던 보상이야. 받아.","0","0","뭐? 수배 중이던 현상범 토벌에 성공했다고!?<hex:02100103>정말 대단한 녀석이군, 보상을 듬뿍 줘야겠어!"
14,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"포도주 항구 부근에서 들어온 일감을<hex:02100103>길드 의뢰로 발행하고 있어.","난 이 주변에서 들어오는 일감을<hex:02100103>모험가에게 '길드 의뢰'로 발행하고 있어.<hex:02100103><hex:02100103>하지만 모험가 길드 대표인<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 씨의 소개가 필요하지.<hex:02100103>검증된 실력자에게 맡기고 싶은 일만 잔뜩 있거든.","그래, 그럼 잘 부탁해.<hex:02100103>기대하고 있을게.","난 이 주변에서 들어오는 일감을<hex:02100103>모험가에게 '길드 의뢰'로 발행하고 있어.<hex:02100103><hex:02100103>하지만 넌 아직 실력이 부족한 것 같군.<hex:02100103>좀 더 각지에서 경험을 쌓은 다음에 와줘.<hex:02100103>그때는 얼마든지 일을 소개해줄 테니까.","어서 와, 임무는 무사히 마치고 온 것 같구나.<hex:02100103>자, 여기. 기다리던 보상이야.<hex:02100103>의뢰인이 보내는 감사의 표시지.","0","0","뭐? 수배 중이던 현상범까지 토벌했다고?<hex:02100103>그렇다면 보상을 더 줘야겠네."
15,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"저는 이 아도넬 점성대 부근에서 들어오는 일감을<hex:02100103>'길드 의뢰'로 발행하고 있습니다.","일을 찾고 계시는군요……<hex:02100103>예, 제가 '길드 의뢰' 발행을<hex:02100103>담당하고 있습니다.<hex:02100103>하지만 먼저 모험가 길드 대표인<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 님 소개가 필요하죠.<hex:02100103>마땅한 실력이 있어야 하는 일이라서요…….","무사히 마치고 돌아오시길 기다리겠습니다.<hex:02100103>무운을 빕니다…….","일을 찾고 계시는군요……<hex:02100103>예, 제가 '길드 의뢰' 발행을<hex:02100103>담당하고 있습니다.<hex:02100103>하지만 좀 더 경험을 쌓고 오셔야겠군요.<hex:02100103>마땅한 실력이 필요한 일이라서요…….","훌륭히 완수하시리라 믿었습니다.<hex:02100103>활약에 걸맞은 보상을 드리지요…….<hex:02100103>의뢰하신 분도 아주 기뻐하실 겁니다.","0","0","현상수배범까지 토벌하시다니! 정말 대단하십니다!<hex:02100103>보상을 더 드려야겠군요."
16,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"난 모험가 길드 일원이지.<hex:02100103>하얀테 전초지 부근에서 들어오는<hex:02100103>'길드 의뢰' 발행 업무를 담당하고 있다네.","난 모험가 길드 일원이지.<hex:02100103>하얀테 전초지 부근에서 들어오는<hex:02100103>'길드 의뢰' 발행업무를 담당하고 있다네.<hex:02100103>하지만 그전에 길드 대표인<hex:02100103><hex:02092AE802FF0E>바데론 씨<hex:FF08>뮨 님<hex:FF0E>모모디 님<hex:03>의 소개가 필요하다네.<hex:02100103>임무는 신뢰할 수 있는 자에게 맡기고 싶으니 말일세.","성공을 기원하겠네.<hex:02100103>자네에게 전쟁신 할로네의 가호가 함께하길…….","난 모험가 길드 일원이지.<hex:02100103>하얀테 전초지 부근에서 들어오는<hex:02100103>'길드 의뢰' 발행업무를 담당하고 있다네.<hex:02100103>하지만 유감스럽게도 자네에겐<hex:02100103>'길드 의뢰'를 발행해 줄 수 없겠군.<hex:02100103>좀 더 경험을 쌓은 다음에 찾아오게나.","역시 숙련된 모험가는 다르군.<hex:02100103>자네의 훌륭한 활약에 걸맞은 보상을 지급하겠네.<hex:02100103>의뢰인들도 분명 만족할 걸세.","0","0","아니, 임무 달성에 그치지 않고<hex:02100103>현상수배범까지 토벌했나! 정말 큰 공을 세웠군.<hex:02100103>활약에는 마땅히 보답해야지. 추가 보상을 주겠네."
17,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"당신은 정말 볼 때마다 강해지시는 것 같군요.<hex:02100103>그 실력에 걸맞은 '길드 의뢰'가 들어왔습니다.<hex:02100103>이야기라도 들어보고 가세요.","저는 메르틀랑이라고 합니다.<hex:02100103>모험가 길드의 일원으로서<hex:02100103>'길드 의뢰' 발행을 담당하고 있죠.<hex:02100103>하지만 당신은 아직 경험이 부족하신 것 같군요…….<hex:02100103>운영을 맡고 계신 <hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 님이 인정하실 정도로<hex:02100103>경험을 쌓으시거든 다시 찾아주십시오.","준비를 마치면 바로 시작해주십시오.<hex:02100103>그럼 잘 부탁합니다.","저는 메르틀랑이라고 합니다.<hex:02100103>모험가 길드의 일원으로서<hex:02100103>'길드 의뢰' 발행을 담당하고 있죠.<hex:02100103>하지만 당신은 아직 경험이 부족하신 것 같군요…….<hex:02100103>이 주변 마물을 쓰러뜨릴 수 있을 정도로<hex:02100103>경험을 쌓으시거든 다시 찾아주십시오.","정말 눈부신 활약이셨습니다.<hex:02100103>자, 약속했던 보상을 드리지요.<hex:02100103>앞으로도 당신만 믿겠습니다.","0","0","이런, 현상수배범까지 토벌하실 줄이야!<hex:02100103>정말 실력이 대단하시군요, 감동했습니다.<hex:02100103>당연히 보상도 더 얹어 드려야지요."
18,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"푸른안개 야영지 주변에서 들어온 일감을<hex:02100103>'길드 의뢰'로 발행하는 게 내 역할이지.","푸른안개 야영지 주변에서 들어온 일감을<hex:02100103>'길드 의뢰'로 발행하는 게 내 역할이지.<hex:02100103><hex:02100103>하지만 먼저 모험가 길드 대표인<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 씨 소개를 받고 다시 와줄래?<hex:02100103>그 정도는 되어야 믿고 맡길 수 있거든.","그럼 잘하고 와.<hex:02100103>보상을 준비해둘 테니까.","푸른안개 야영지 주변에서 들어온 일감을<hex:02100103>'길드 의뢰'로 발행하는 게 내 역할이지.<hex:02100103><hex:02100103>하지만 넌 경험이 좀 부족한 것 같군.<hex:02100103>이 주변 마물을 가볍게 쓰러뜨릴<hex:02100103>실력 정도는 있어야 믿고 맡길 수 있거든.","이번 임무는 성공이군…….<hex:02100103>모험가 길드에 제출할 기록도 다 작성했고<hex:02100103>가장 중요한 보상을 줘야겠군.","0","0","이번 임무는 대성공이군…….<hex:02100103>임무 달성에 현상수배범까지 토벌하다니.<hex:02100103>길드 규정대로 보너스를 지급할게."
19,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"전갈 교역소 주변에서 들어온 일감을<hex:02100103>길드 의뢰로 발행하고 있어.","혹시 일거리가 필요해서 왔어?<hex:02100103>잘 찾아왔군, 우린 이 근처에서 들어온 일감을<hex:02100103>'길드 의뢰'로 발행하고 있거든.<hex:02100103>하지만 모험가 길드 대표인<hex:02100103><hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03> 씨 소개가 필요해.<hex:02100103>누구나 할 수 있는 일이 아니라서 말이야.","성공하고 돌아오리라 믿어.<hex:02100103>그럼 조심해서 다녀와!","혹시 일거리가 필요해서 왔어?<hex:02100103>잘 찾아왔군, 우린 이 근처에서 들어온 일감을<hex:02100103>'길드 의뢰'로 발행하고 있거든.<hex:02100103>하지만 실력도 없는 녀석에게 맡길 일은 없어.<hex:02100103>부족하지 않을 만큼 실력을 갖추고 다시 오면<hex:02100103>그때 좋은 일자리를 소개해줄게.","잘했어! 아주 대단하던걸.<hex:02100103>자, 여기 보상이야. 사양 말고 받아.<hex:02100103>의뢰인도 분명 고맙게 생각할 거야.","0","0","잘했어. 임무를 완수한 데다가<hex:02100103>수배 중이던 현상범까지 토벌하다니!<hex:02100103>추가 보상을 넣어뒀으니까 확인해봐."
20,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"이 부근 주민들이 모험가 길드에 맡긴 일감을<hex:02100103>길드 의뢰로 발행하고 있어…….","음…… 일을 찾고 있는 모양이군…….<hex:02100103>하지만 '길드 의뢰'를 받으려면<hex:02100103>길드 대표, <hex:02091EE802FF0A>바데론<hex:FF04>뮨<hex:FF0A>모모디<hex:03>의 소개가 필요하지.<hex:02100103>즉…… 합당한 실력과 신뢰가 필요하다는 뜻이야.<hex:02100103>꾸준히 노력해봐…….","그래, 임무를 시작하려고……<hex:02100103>성공을 빈다…….","음…… 일을 찾고 있는 모양이군…….<hex:02100103>하지만 '길드 의뢰'를 받으려면<hex:02100103>이 주변 마물에게 지지 않을 '힘'이 필요하지.<hex:02100103>즉…… 합당한 실력과 신뢰가 필요하다는 뜻이야.<hex:02100103>꾸준히 노력해봐…….","그래, 임무를 달성했군……<hex:02100103>그렇다면 보상을 줘야지.<hex:02100103>자, 의뢰주가 보내는 감사의 표시야……","0","0","호오, 임무 달성에 현상수배범까지……?<hex:02100103>그렇다면 보상을 더 얹어줘야겠군.<hex:02100103>정말 잘했어……."
21,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"코스타 델 솔 주변에서 들어온 일감을<hex:02100103>길드 의뢰로 발행하고 있지.<hex:02100103>의욕과 실력을 겸비한 모험가라면 누구나 환영해.","'길드 의뢰'를 받고 싶다고?<hex:02100103>이거 미안하군, 이 일은 실력이 검증된 사람에게만<hex:02100103>맡기고 있거든.<hex:02100103>우선 모험가 길드 대표인<hex:02100103><hex:020930E802FF11>바데론 나리<hex:FF0B>뮨 누님<hex:FF0E>모모디 씨<hex:03>의 소개를<hex:02100103>받고 다시 와주겠어?","좋아, 그럼 열심히 해봐.<hex:02100103>잘 부탁해!","'길드 의뢰'를 받고 싶다고?<hex:02100103>이거 미안하군, 이 일은 실력이 검증된 사람에게만<hex:02100103>맡기고 있어서.<hex:02100103>이 주변에 어슬렁대는 마물을<hex:02100103>가볍게 처리할 수 있을 만큼<hex:02100103>실력이 붙거든 다시 와주겠어?","오, 벌써 일을 끝냈어?<hex:02100103>고마워, 덕분에 큰일을 처리했군.<hex:02100103>여기 약속했던 보상이야, 받아! ","0","0","일은 물론이고 현상수배범까지 토벌했다고?<hex:02100103>이거 정말 놀랍군…… 덕분에 큰일을 처리했어.<hex:02100103>약속했던 보상에 보너스도 얹었으니 받아!"
