key,0,1,2,3,4,5,6,7,8,9,10,11
26,2,1,2,0,0,"/dice","","USAGE:<hex:02100103>　/dice [chat mode] [subcommand]<hex:02100103><hex:02100103>→Displays a random number between 0 and 999 in the specified chat channel. Displays in the current chat mode when no chat mode is specified.<hex:02100103><hex:02100103>>>Chat Modes:<hex:02100103>　Party<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>party<hex:0249020103><hex:0248020103>, <hex:024804F201FA03><hex:024904F201FB03>p<hex:0249020103><hex:0248020103><hex:02100103>　Alliance<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>alliance<hex:0249020103><hex:0248020103>, <hex:024804F201FA03><hex:024904F201FB03>al<hex:0249020103><hex:0248020103><hex:02100103>　Free Company<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>freecompany<hex:0249020103><hex:0248020103>, <hex:024804F201FA03><hex:024904F201FB03>fc<hex:0249020103><hex:0248020103><hex:02100103>　PvP Team<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>pvpteam<hex:0249020103><hex:0248020103>, <hex:024804F201FA03><hex:024904F201FB03>pt<hex:0249020103><hex:0248020103><hex:02100103>　Linkshell<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>linkshell1-8<hex:0249020103><hex:0248020103>, <hex:024804F201FA03><hex:024904F201FB03>l1-8<hex:0249020103><hex:0248020103><hex:02100103>　Cross-world Linkshell<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>cwlinkshell1-8<hex:0249020103><hex:0248020103>, <hex:024804F201FA03><hex:024904F201FB03>cwl1-8<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>[upper limit]<hex:0249020103><hex:0248020103><hex:02100103>　　Set an upper limit to display a random number between 1 and the specified number. Displays a random number between 0 and 999 when no upper limit is specified.<hex:02100103>　　Upper limit range: 2-999<hex:02100103><hex:02100103>>>Examples:<hex:02100103>　/dice<hex:02100103>　(Displays a random number<hex:02100103>　in the current chat mode.)<hex:02100103><hex:02100103>　/dice 16<hex:02100103>　(Displays a random number<hex:02100103>　between 1 and 16 in the<hex:02100103>　current chat mode.)<hex:02100103><hex:02100103>　/dice cwl1<hex:02100103>　(Displays a random number<hex:02100103>　in the Cross-world Linkshell 1<hex:02100103>　channel.)<hex:02100103><hex:02100103>　/dice cwl1 16<hex:02100103>　(Displays a random number<hex:02100103>　between 1 and 16 in the<hex:02100103>　Cross-world Linkshell 1<hex:02100103>　channel.)","","",36,1000
27,3,1,2,0,0,"/nameplatetype","","USAGE:<hex:02100103>　/nameplatetype [category] [setting number]<hex:02100103><hex:02100103>→Change PC display type settings.<hex:02100103><hex:02100103>>>Category:<hex:02100103>　All Players<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>all<hex:0249020103><hex:0248020103><hex:02100103>　Your Character<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>self<hex:0249020103><hex:0248020103><hex:02100103>　Party Members<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>party<hex:0249020103><hex:0248020103><hex:02100103>　Other PCs<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>other<hex:0249020103><hex:0248020103><hex:02100103>　Friends<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>friend<hex:0249020103><hex:0248020103><hex:02100103>　Crystalline Conflict Opponents<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>feast<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>>>Setting Number<hex:02100103>　1: Full Name<hex:02100103>　2: Surname Abbreviated<hex:02100103>　3: Forename Abbreviated<hex:02100103>　4: Initials<hex:02100103><hex:02100103>>>Example:<hex:02100103>　/nameplatetype all 4<hex:02100103>　(Set display names to<hex:02100103>　initials for all players.)","","",36,0
28,3,1,2,0,0,"/nameplatedisp","","USAGE:<hex:02100103>　/nameplatedisp [category] [setting number]<hex:02100103><hex:02100103>→Change PC display name settings.<hex:02100103><hex:02100103>>>Category:<hex:02100103>　All Players<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>all<hex:0249020103><hex:0248020103><hex:02100103>　Your Character<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>self<hex:0249020103><hex:0248020103><hex:02100103>　Party Members<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>party<hex:0249020103><hex:0248020103><hex:02100103>　Other PCs<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>other<hex:0249020103><hex:0248020103><hex:02100103>　Friends<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>friend<hex:0249020103><hex:0248020103><hex:02100103>　Crystalline Conflict Opponents<hex:02100103>　　<hex:024804F201FA03><hex:024904F201FB03>feast<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>>>Setting Number<hex:02100103>　1: Always<hex:02100103>　2: During Battle<hex:02100103>　3: When Targeted<hex:02100103>　4: Never<hex:02100103>　5: Outside Battle<hex:02100103><hex:02100103>>>Example:<hex:02100103>　/nameplatedisp all 4<hex:02100103>　(Set display names to never<hex:02100103>　display for all players.)","","",36,0
29,2,1,20,0,0,"/fashion","","USAGE:<hex:02100103>　/fashion [accessory]<hex:02100103><hex:02100103>→Equip a specified fashion accessory.<hex:02100103><hex:02100103>>>Example:<hex:02100103>　/fashion “parasol”<hex:02100103>　(Equip the parasol accessory.)","","",36,0
30,1,0,0,0,0,"/fashionguide","","USAGE:<hex:02100103>　/fashionguide<hex:02100103><hex:02100103>→Opens and closes the Fashion Accessories interface.","/fashionguide","",32,0
31,1,0,0,0,0,"/officialsite","/site","ALIASES:<hex:02100103>　/officialsite, /site<hex:02100103>USAGE:<hex:02100103>　/officialsite<hex:02100103><hex:02100103>→Opens and closes the Official Sites interface.","","",32,0
32,1,0,0,0,0,"//setGearset","","//setGearset<hex:02100103>リアルイベント用コマンド。<hex:02100103>アーマリーチェスト内のアイテムをもとに、自動的にバトルジョブのギアセットを生成する。","","",32,0
33,3,2,7,15,0,"/petmirage","","ALIASES:<hex:02100103>　/petglamour, /petglam, /egiglamour<hex:02100103>USAGE:<hex:02100103>　/petglamour [summon] [glamour]<hex:02100103><hex:02100103>→Alter the appearance of select summons. You must resummon the egi for the glamour to take effect. Command not applicable in PvP instances.<hex:02100103><hex:02100103>>>Summon Name:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Carbuncle<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Garuda-Egi<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Titan-Egi<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Ifrit-Egi<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Eos<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>>>Glamour:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Carbuncle<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Emerald Carbuncle<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Topaz Carbuncle<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Ruby Carbuncle<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Garuda-Egi<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Titan-Egi<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Ifrit-Egi<hex:0249020103><hex:0248020103><hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>Selene<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>The glamour will be removed when no glamour is specified.<hex:02100103>Displays pet glamour settings in chat log when no subcommand is specified.<hex:02100103><hex:02100103>>>Example:<hex:02100103>　/petglamour ""Garuda-Egi"" ""Ruby Carbuncle""<hex:02100103>　(Garuda-Egi will appear glamoured as Ruby Carbuncle.)<hex:02100103>　/petglamour ""Garuda-Egi""<hex:02100103>　(Returns Garuda-Egi to default appearance.)<hex:02100103>　/petglamour<hex:02100103>　(Displays pet glamour settings.)","/petglamour","/petglam",36,0
34,3,2,7,2,0,"/petsize","","USAGE:<hex:02100103>　/petsize [summon] [size]<hex:02100103><hex:02100103>→Alter the size of select summons. Command not applicable in PvP instances. These settings will not apply to other players.<hex:02100103><hex:02100103>>>Egi Name:<hex:02100103>　Demi-Bahamut<hex:02100103>　Demi-Phoenix<hex:02100103>　Ruby Ifrit<hex:02100103>　Topaz Titan<hex:02100103>　Emerald Garuda<hex:02100103>　Solar Bahamut<hex:02100103>　all<hex:02100103><hex:02100103>>>Size:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>large<hex:0249020103><hex:0248020103><hex:02100103>　　Set summon size to large.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>medium<hex:0249020103><hex:0248020103><hex:02100103>　　Set summon size to medium.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>small<hex:0249020103><hex:0248020103><hex:02100103>　　Set summon size to small.<hex:02100103><hex:02100103>Toggles between small, medium, and large when no size is specified. Returns an error when attempting to toggle using “all.”<hex:02100103><hex:02100103>>>Example:<hex:02100103>　/petsize ""Ruby Ifrit"" ""small""<hex:02100103>　(Set Ruby Ifrit's size to small.)","","",36,0
35,3,0,0,0,0,"/ridepillion","","USAGE:<hex:02100103>　/ridepillion [placeholder] [subcommand]<hex:02100103><hex:02100103>→Ride pillion on a selected party member's mount.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>[seat number]<hex:0249020103><hex:0248020103><hex:02100103>　　Select your desired seat on the mount.<hex:02100103>　　Available options: 1-7<hex:02100103><hex:02100103>>>Common Placeholders:<hex:02100103>　<t>, <target>, <1>-<8><hex:02100103><hex:02100103>If the desired seat is already selected, you will be placed in the next available seat. Seat 1 will be selected if unspecified.<hex:02100103><hex:02100103>>>Example:<hex:02100103>　/ridepillion <2> 1<hex:02100103>　(Ride in seat 1 of party member 2.)","","",36,0
36,1,0,0,0,0,"/patchnote","","USAGE:<hex:02100103>　/patchnote<hex:02100103><hex:02100103>→Opens the Patch Notes page on the official site.<hex:02100103><hex:02100103>Launches using your default browser.","","",32,1000
37,1,0,0,0,0,"/portrait","","USAGE:<hex:02100103>　/portrait<hex:02100103><hex:02100103>→Opens and closes the Portraits interface.","","",32,0
38,1,0,0,0,0,"/adventurerplate","/myplate","ALIASES:<hex:02100103>　/adventurerplate, /myplate<hex:02100103>USAGE:<hex:02100103>　/myplate<hex:02100103><hex:02100103>→Opens and closes your adventurer plate.","","",32,0
39,2,1,2,0,0,"/rclickpc","","USAGE:<hex:02100103>　/rclickpc [subcommand]<hex:02100103><hex:02100103>→Sets right-click selection to allow or ignore PC targets.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>on <hex:0249020103><hex:0248020103><hex:02100103>　　Disables right-click selection for PCs.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>off <hex:0249020103><hex:0248020103><hex:02100103>　　Enables right-click selection for PCs.<hex:02100103><hex:02100103>Toggles between on and off when no subcommand is specified.","","",36,0
40,2,1,2,0,0,"/rclickbattlenpc","","USAGE:<hex:02100103>　/rclickbattlenpc [subcommand]<hex:02100103><hex:02100103>→Sets right-click selection to allow or ignore battle NPC targets.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>on <hex:0249020103><hex:0248020103><hex:02100103>　　Disables right-click selection for battle NPCs.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>off <hex:0249020103><hex:0248020103><hex:02100103>　　Enables right-click selection for battle NPCs.<hex:02100103><hex:02100103>Toggles between on and off when no subcommand is specified.","","",36,0
41,2,1,2,0,0,"/rclickminion","","USAGE:<hex:02100103>　/rclickminion [subcommand]<hex:02100103><hex:02100103>→Sets right-click selection to allow or ignore minion targets.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>on <hex:0249020103><hex:0248020103><hex:02100103>　　Disables right-click selection for minions.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>off <hex:0249020103><hex:0248020103><hex:02100103>　　Enables right-click selection for minions.<hex:02100103><hex:02100103>Toggles between on and off when no subcommand is specified.","","",36,0
42,2,1,21,0,0,"/facewear","","USAGE:<hex:02100103>　/facewear [accessory]<hex:02100103><hex:02100103>→Equip a specified face accessory.<hex:02100103><hex:02100103>>>Example:<hex:02100103>　/facewear “oval spectacles”<hex:02100103>　(Equip the oval spectacles face accessory.)","/facewear","",36,0
43,1,0,0,0,0,"/mutelist","","USAGE:<hex:02100103>　/mutelist<hex:02100103><hex:02100103>→Opens and closes the Mute List interface.","","",32,0
44,1,0,0,0,0,"/termfilter","","USAGE:<hex:02100103>　/termfilter<hex:02100103><hex:02100103>→Opens and closes the Term Filter interface.","/termfilter","",32,0
45,1,0,0,0,0,"/facewearlist","","USAGE:<hex:02100103>　/facewearlist<hex:02100103><hex:02100103>→Opens and closes the Facewear interface.","/facewearlist","",32,0
46,2,1,2,0,0,"/visualalerts","","USAGE:<hex:02100103>　/visualalerts [subcommand]<hex:02100103><hex:02100103>→Change visual alerts settings.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>on <hex:0249020103><hex:0248020103><hex:02100103>　　Enables visual alerts.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>off <hex:0249020103><hex:0248020103><hex:02100103>　　Disable visual alerts.<hex:02100103><hex:02100103>Toggles between on and off when no subcommand is specified.","","",509,0
47,2,1,2,0,0,"/colorfiltering","","USAGE:<hex:02100103>　/colorfiltering [subcommand]<hex:02100103><hex:02100103>→Change color filtering settings.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>on <hex:0249020103><hex:0248020103><hex:02100103>　　Enables color filtering.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>off <hex:0249020103><hex:0248020103><hex:02100103>　　Disable color filtering.<hex:02100103><hex:02100103>Toggles between on and off when no subcommand is specified.","","",509,0
48,2,1,2,0,0,"/autotargetpriority","","USAGE:<hex:02100103>　/autotargetpriority [subcommand]<hex:02100103><hex:02100103>→Change auto-target priority settings.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>on <hex:0249020103><hex:0248020103><hex:02100103>　　Enables auto-target priority.<hex:02100103>　<hex:024804F201FA03><hex:024904F201FB03>off <hex:0249020103><hex:0248020103><hex:02100103>　　Disable auto-target priority.<hex:02100103><hex:02100103>Toggles between on and off when no subcommand is specified.","","",36,0
49,2,1,2,0,0,"/vieraears","/vears","ALIASES:<hex:02100103>　/vieraears, /vears<hex:02100103>USAGE:<hex:02100103>　/vieraears, /vears [subcommand]<hex:02100103><hex:02100103>→Toggle the display of Viera ears on or off.<hex:02100103>※Only reflected on applicable headgear.<hex:02100103><hex:02100103>>>Subcommands:<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>1<hex:0249020103><hex:0248020103><hex:02100103>Display ears.<hex:02100103><hex:02100103><hex:024804F201FA03><hex:024904F201FB03>0<hex:0249020103><hex:0248020103><hex:02100103>Hide ears.<hex:02100103><hex:02100103>Toggles between on and off when no subcommand is specified.","","",36,0
50,1,0,0,0,0,"/quickpanel","","ALIASES:<hex:02100103>　/commandpanel, /cmdpanel<hex:02100103>USAGE:<hex:02100103>　/commandpanel<hex:02100103><hex:02100103>→Opens and closes your Command Panel.","/commandpanel","/cmdpanel",32,0
51,1,0,0,0,0,"/strategyboard","","USAGE:<hex:02100103>　/strategyboard<hex:02100103><hex:02100103>→Opens and closes the Strategy Board menu.","","",32,0
52,0,0,0,0,0,"","","","","",0,0
53,0,0,0,0,0,"","","","","",0,0
54,0,0,0,0,0,"","","","","",0,0
55,0,0,0,0,0,"","","","","",0,0
56,0,0,0,0,0,"","","","","",0,0
57,0,0,0,0,0,"","","","","",0,0
58,0,0,0,0,0,"","","","","",0,0
59,0,0,0,0,0,"","","","","",0,0
60,0,0,0,0,0,"","","","","",0,0
61,0,0,0,0,0,"","","","","",0,0
62,0,0,0,0,0,"","","","","",0,0
63,0,0,0,0,0,"","","","","",0,0
64,0,0,0,0,0,"","","","","",0,0
65,0,0,0,0,0,"","","","","",0,0
66,0,0,0,0,0,"","","","","",0,0
67,0,0,0,0,0,"","","","","",0,0
68,0,0,0,0,0,"","","","","",0,0
