7,86804,"<hex:0248020803><hex:0249020403>Duty Calls─A Dungeon Beckons!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Enlist the aid of <hex:0248020F03>allied players<hex:0248020103> and <hex:0248020F03>NPCs<hex:0248020103> alike to slay monsters, solve mysteries, and defeat the mighty boss lurking in the depths. Conquering <hex:0248020F03>dungeons<hex:0248020103> is not only a time-honored tradition of adventurers, but it also <hex:0248020F03>progresses the main scenario<hex:0248020103> and tests your prowess at a given class or job in a <hex:0248020F03>timed environment<hex:0248020103>.<hex:02100103><hex:02100103>Intimidated? Fear not, dear adventurer─for with a little guidance, you too shall be clearing <hex:0248020F03>dungeons<hex:0248020103> with confidence in no time!"
8,86805,"<hex:0248020803><hex:0249020403>Into the Depths: Two Ways to Adventure<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>You may challenge a <hex:0248020F03>dungeon<hex:0248020103> via two different methods: by calling upon <hex:0248020F03>the support of trusty NPCs<hex:0248020103>, or by <hex:0248020F03>pooling your talent with other players<hex:0248020103>, be they best friend or first acquaintance. No matter how you form your party, the trials that await you will be comparable in difficulty and experience."
9,86806,"<hex:0248020803><hex:0249020403>Into the Depths: Duty Support<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>No matter how independent and capable you may be, a <hex:0248020F03>dungeon<hex:0248020103> is too mighty a challenge to overcome on one's own. By choosing <hex:0248020F03>Duty Support<hex:0248020103> when accessing the entrance of any applicable <hex:0248020F03>dungeon<hex:0248020103>, you will summon a balanced <hex:0248020F03>team of skilled NPCs<hex:0248020103> to support you on your path to glory. Just don't forget them once you're rich and famous, yes?"
10,86807,"<hex:0248020803><hex:0249020403>Into the Depths: Duty Support, Continued<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>After choosing to challenge a <hex:0248020F03>dungeon<hex:0248020103> with NPCs via <hex:0248020F03>Duty Support<hex:0248020103>, a party that perfectly complements your <hex:0248020F03>current class or job<hex:0248020103> will be automatically created for you. All that's left is to select <hex:0248020F03>Register for Duty<hex:0248020103>, and you will be battling monsters in no time."
11,86808,"<hex:0248020803><hex:0249020403>Into the Depths: Duty Finder<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>They say a burden shared is a burden halved, and with the <hex:0248020F03>Duty Finder<hex:0248020103> you can split that burden amongst a team of players who smolder with the same passion for <hex:0248020F03>adventure<hex:0248020103> as you do! No need to recruit such teammates yourself─the <hex:0248020F03>Duty Finder<hex:0248020103>'s matching system will automatically group players according to chosen challenge and other criteria, guaranteeing a balanced and invigorating cooperative experience for all."
12,86809,"<hex:0248020803><hex:0249020403>Into the Depths: Duty Finder, Continued<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Once you have been matched with a party, you will be notified by a <hex:0248020F03>bracing sound<hex:0248020103> that the time for battle is at hand! Simply select <hex:0248020F03>Commence<hex:0248020103>, and you and your comrades will be delivered unto the fray.<hex:02100103><hex:02100103>Remember─the adventurers with whom you are cooperating are fellow <hex:0248020F03>players<hex:0248020103>. Take advantage of the full and varied strengths your group possesses by communicating respectfully and often. "
13,86810,"<hex:0248020803><hex:0249020403>Dungeons Abound<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>As your journey progresses, more and more <hex:0248020F03>dungeons<hex:0248020103> will become available, until you find yourself master of a sea of tribulations overcome. But don't let completion deter you from <hex:0248020F03>challenging your favorite duties again<hex:0248020103>─simply open <hex:0248020F03>Duty Support<hex:0248020103> to play through <hex:0248020F03>dungeons you've cleared<hex:0248020103>, or use the <hex:0248020F03>Duty Finder<hex:0248020103> to do the same with <hex:0248020F03>dungeons not yet supported by the NPC party system<hex:0248020103>. No matter your craving, you're guaranteed to find an adventure to satisfy."
14,86810,"<hex:0248020803><hex:0249020403>Need a Refresher?<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>While this introduction of <hex:0248020F03>dungeons<hex:0248020103> has no doubt been immortalized within the hallowed halls of your mind, if you find yourself in need of a refresher, you may <hex:0248020F03>access tutorial information<hex:0248020103> again by selecting the <hex:0248020F03>?<hex:0248020103> icon in the <hex:0248020F03>Duty Support<hex:0248020103> or <hex:0248020F03>Duty Finder<hex:0248020103> windows.<hex:02100103><hex:02100103>A true adventurer knows the meaning of duty─secure your legacy by fulfilling yours!"
15,86812,"<hex:0248020803><hex:0249020403>Variant Dungeons─A Matter of Choice<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:0248020F03>Variant dungeons<hex:0248020103> are a unique type of duty featuring <hex:0248020F03>branching paths<hex:0248020103>. By exploring these choices alongside the quest character, you will gradually reveal new elements of the overarching story.<hex:02100103><hex:02100103>Unlocking certain branches may require some detective work! Whenever you complete a path, a new story entry will be added to the journal associated with the dungeon, so keep at it until you discover all the forks in the road."
16,86812,"<hex:0248020803><hex:0249020403>Make It a Party or Go It Alone<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>The difficulty of a variant dungeon is <hex:0248020F03>automatically adjusted<hex:0248020103> to provide a challenge for parties of between one to four players. <hex:02100103><hex:02100103>You can group up with friends, make use of the party matching option, or put your solo player skills to the test. Victory will require effort and attention, but it is entirely possible to complete these dungeons alone. "
17,86813,"<hex:0248020803><hex:0249020403>Variant Actions<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>To allow for greater freedom in role choices, variant dungeons grant players the use of special <hex:0248020F03>variant actions<hex:0248020103>.<hex:02100103><hex:02100103>These actions mimic existing abilities such as <hex:0248020F03>Cure<hex:0248020103> or <hex:0248020F03>Rampart<hex:0248020103>, alleviating the need for dedicated tanks, DPS, or healers. Each player has two actions available for use during the dungeon, and these can be changed at any time in the Dungeon Finder window."
18,86813,"<hex:0248020803><hex:0249020403>Enter the Dungeon<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>You can enter a variant dungeon via the <hex:0248020F03>V&C Dungeon Finder window<hex:0248020103>, which is accessed by speaking with the <hex:0248020F03>NPC at the dungeon entrance<hex:0248020103>, or by selecting the option from <hex:0248020F03>Duty<hex:0248020103> in the main menu.<hex:02100103><hex:02100103>This standalone window serves all your variant dungeon needs, whether you wish to read story discoveries, set your variant actions, or make changes to the dungeon settings."
19,86811,"<hex:0248020803><hex:0249020403>Welcome to your new home in the southern seas─your own personal island sanctuary!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Explore the wilds, build landmarks, grow crops, tend to animals, and enjoy everything this slice of paradise has to offer."
20,86811,"<hex:0248020803><hex:0249020403>■No Class/Job Restrictions<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Adventurers of all inclinations can enjoy island sanctuary life, regardless of crafting or gathering experience. Come as you are!"
21,86811,"<hex:0248020803><hex:0249020403>■Island EXP and Sanctuary Rank<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Accumulate island experience by engaging in activities on your island to increase your sanctuary rank. As your sanctuary rank increases, so too will the facets of island life available to you!"
22,86811,"<hex:0248020803><hex:0249020403>■Visions<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Realize visions for your newfound sanctuary by following a series of simple steps, and life on your island will be nothing short of perfect before you know it!"
23,86814,"<hex:0248020803><hex:0249020403>You now have access to the Hall of the Novice!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Designed especially for your chosen role, these solo exercises will teach you the ins and outs of party combat. You may access them at any time, either by selecting Hall of the Novice from the Duty section of the main menu, or by speaking with any of the Smiths found in Adventurers' Guilds across Eorzea.<hex:02100103><hex:02100103>Complete these exercises to receive a set of gear that will aid you on your journey!"
24,86815,"<hex:0248020803><hex:0249020403>New exercises have been added to the Hall of the Novice!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>These solo challenges will teach you how to interpret the attack markers seen during combat. You may access them at any time, either by selecting Hall of the Novice from the Duty section of the main menu, or by speaking with any of the Smiths found in Adventurers' Guilds across Eorzea.<hex:02100103><hex:02100103>Complete these exercises and arm yourself with the knowledge required to conquer the many challenges that await you on your journey!"
25,86817,"<hex:0248020803><hex:0249020403>You stand upon the Occult Crescent, an uncharted isle in the heart of Shades' Triangle!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Whether you choose to join your fellow explorers in large-scale battles against the fiercest of foes, or take on the crescent's denizens in a series of small skirmishes, there are many ways to proceed and much to uncover on these shores.<hex:02100103><hex:02100103>The following pages contain a detailed explanation of what you may expect on the Occult Crescent. Read and understand them well if you would seek to unravel the island's mysteries."
26,86818,"<hex:0248020803><hex:0249020403>■Level Requirements<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>The Occult Crescent is accessible for <hex:0248020F03>Disciples of War or Magic level 100 and above.<hex:0248020103> The <hex:0248020F03>required average item level is 690<hex:0248020103>, and <hex:0248020F03>item level will be synced to 700.<hex:0248020103> Players may change to a different job of sufficient level while in duty."
27,86819,"<hex:0248020803><hex:0249020403>■Knowledge Level<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>All players are subject to a separate leveling system while exploring the Occult Crescent, indicated by their <hex:0248020F03>knowledge level<hex:0248020103>. Participating in large-scale battles or slaying the island's fiends will bolster your <hex:0248020F03>knowledge<hex:0248020103>─akin to experience points."
28,86819,"<hex:0248020803><hex:0249020403>■Knowledge Level<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>When facing the fiends of the Occult Crescent, your knowledge level will significantly impact the outcome of any battle. To improve your chances of survival when roaming the wilds, be sure to accrue as much knowledge as you are able.<hex:02100103><hex:02100103>Discrepancies between your knowledge level and that of your foes will affect the damage you deal and receive. You would do well to choose your marks carefully before engaging."
29,86820,"<hex:0248020803><hex:0249020403>■Critical Encounters<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>While exploring the isle, you may participate in <hex:0248020F03>critical encounters<hex:0248020103>─large-scale battles for up to 72 combatants. Emerging victorious from these perilous endeavors will garner a wealth of knowledge and other rewards. As critical encounters are not affected by your knowledge level, they can be attempted regardless of your progress.<hex:02100103><hex:02100103>Additionally, during the course of your expedition, the Return action is replaced by <hex:0248020F03>Occult Return<hex:0248020103>, which enables instant return to the base camp without the penalty of a lengthy recast time."
30,0,""
31,86816,"<hex:0248020803><hex:0249020403>Welcome to the Cosmic Exploration Initiative!<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>As part of the team, you will work alongside <hex:0248020F03>fellow residents of your Home World<hex:0248020103> to explore and develop Sinus Ardorum as well as each new planet you reach.<hex:02100103><hex:02100103>Further each objective through crafting and gathering, and shape your surroundings with new facilities designed to aid in greater exploration!"
32,86816,"<hex:0248020803><hex:0249020403>■Class Restrictions and Quest Sync<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>The central activities of cosmic exploration, such as stellar missions, are designed for Disciples of the Hand and Land.<hex:02100103><hex:02100103>Stellar missions employ <hex:0248020F03>quest sync<hex:0248020103>, which adjusts the difficulty and EXP rewards to your current level."
33,86816,"<hex:0248020803><hex:0249020403>■Zone Effects<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Within cosmic exploration zones, the rainbow crystal converts a crafter or gatherer's Sprint action into Stellar Sprint, boosting movement speed and effect duration."
34,86816,"<hex:0248020803><hex:0249020403>■Check Your Exotablet<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>In addition to stellar missions, cosmic exploration offers a variety of other activities.<hex:02100103><hex:02100103>Refer to your <hex:0248020F03>exotablet<hex:0248020103> and open the <hex:0248020F03>Exploration Guide<hex:0248020103> to learn more!"
35,86816,"<hex:0248020803><hex:0249020403>■Accessing Exploration Zones<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>Speak to Drivingway in Bestways Burrow to reach Sinus Ardorum─and subsequent stars, once the initiative is ready to make the hop.<hex:02100103><hex:02100103>Alternatively, you can travel to the latest accessible planet via the Bestways Burrow aetheryte."
