6,86803,"<hex:0248020803><hex:0249020403>■わからなくなった！　そんな時は……<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>その他のルールやシステムは、<hex:02100103>ガンゴッシュのセロウシュや、コンテンツ内のNPCたちが説明してくれます。<hex:02100103>わからないことがあれば、積極的にNPCと話してみましょう！"
7,86804,"<hex:0248020803><hex:0249020403>新たな冒険として、ダンジョンの攻略が発生しました！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>ダンジョンでは、<hex:0248020F03>他のプレイヤー<hex:0248020103>や<hex:0248020F03>NPC<hex:0248020103>と<hex:0248020F03>協力して<hex:0248020103>、モンスターを討伐したり、<hex:02100103>ギミックを解きながら、<hex:0248020F03>ダンジョンの奥にいるボスを倒して報酬を得る<hex:0248020103>ことができます。<hex:02100103>また、<hex:0248020F03>ストーリーを進めるためには、ダンジョンの攻略が必須となる場合<hex:0248020103>があります。<hex:02100103>攻略には時間制限があり、攻略中はクラス・ジョブの変更ができません。<hex:02100103><hex:02100103>次ページより、ダンジョンへの突入方法について説明します。"
8,86805,"<hex:0248020803><hex:0249020403>いざダンジョンへ！① ふたつの突入方法について<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>ダンジョンへ突入するには、<hex:0248020F03>サポートNPCと協力して単独突入する<hex:0248020103>方法と、<hex:02100103><hex:0248020F03>マッチング機能を利用<hex:0248020103>して<hex:0248020F03>他のプレイヤーと共に突入する<hex:0248020103>方法があります。<hex:02100103><hex:02100103>もちろん、事前にプレイヤー同士でパーティを編成して突入することも可能で、<hex:02100103><hex:0248020F03>いずれの方法で突入<hex:0248020103>しても、<hex:0248020F03>同じようにダンジョンを攻略可能<hex:0248020103>です。"
9,86806,"<hex:0248020803><hex:0249020403>いざダンジョンへ！② サポートNPCを利用しての攻略<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>プレイヤーである貴方は、<hex:0248020F03>サポートNPC<hex:0248020103>の助けを借りることで、<hex:02100103><hex:0248020F03>単独でのダンジョン攻略に挑むことが可能<hex:0248020103>です。<hex:02100103>このシステムのことを<hex:0248020F03>「コンテンツサポーター」<hex:0248020103>と呼びます。<hex:02100103><hex:02100103>コンテンツサポーターに対応しているダンジョンの入り口には、<hex:02100103><hex:0248020F03>「進入地点とサポーター対応アイコン」<hex:0248020103>が設置されています。"
10,86807,"<hex:0248020803><hex:0249020403>いざダンジョンへ！③ サポートNPCを利用しての攻略（続き）<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>進入地点にアクセスし、<hex:0248020F03>「サポートNPCと突入」を選ぶ<hex:0248020103>ことで、<hex:02100103><hex:0248020F03>コンテンツサポーターウィンドウ<hex:0248020103>が開きます。<hex:02100103><hex:02100103><hex:0248020F03>NPCのクラスやジョブ<hex:0248020103>は、貴方のクラスやジョブに合わせ、<hex:02100103>最適な組み合わせになるよう、<hex:0248020F03>自動的に調整<hex:0248020103>されます。<hex:02100103><hex:0248020F03>「突入」ボタンを押して<hex:0248020103>、NPCと共にダンジョンの攻略に挑みましょう！"
11,86808,"<hex:0248020803><hex:0249020403>いざダンジョンへ！④ 他のプレイヤーとパーティを編成して攻略<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:0248020F03>プレイヤー同士<hex:0248020103>でダンジョンなどへ突入するための<hex:0248020F03>便利な機能<hex:0248020103>、<hex:02100103>それが<hex:0248020F03>「コンテンツファインダー」<hex:0248020103>です。<hex:02100103><hex:02100103>進入地点にアクセスし、<hex:0248020F03>「他のプレイヤーと突入」を選ぶ<hex:0248020103>ことで、<hex:02100103><hex:0248020F03>コンテンツファインダーウィンドウ<hex:0248020103>が開きます。<hex:02100103><hex:0248020F03>行きたいダンジョン名などを選択<hex:0248020103>し、<hex:0248020F03>「参加申請」を押す<hex:0248020103>ことで、<hex:02100103>同じ目的を持った他のプレイヤーと、自動的にパーティを編成してくれます。<hex:02100103>これを<hex:0248020F03>「マッチング」<hex:0248020103>と呼びます。"
12,86809,"<hex:0248020803><hex:0249020403>いざダンジョンへ！⑤ 他のプレイヤーとパーティを編成して攻略（続き）<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:0248020F03>マッチングが完了<hex:0248020103>した際には、<hex:0248020F03>アラームが鳴り<hex:0248020103>ます。<hex:02100103><hex:0248020F03>「突入」を押して<hex:0248020103>コンテンツに挑戦！<hex:02100103><hex:02100103>マッチングで出会うのは、<hex:0248020F03>貴方と同じように冒険をしているプレイヤー<hex:0248020103>です。<hex:02100103>「こんにちは！」「よろしくお願いします！」などの挨拶を交わし、<hex:02100103><hex:0248020F03>一緒にコンテンツの攻略<hex:0248020103>を目指しましょう！"
13,86810,"<hex:0248020803><hex:0249020403>攻略可能なダンジョンはどんどん増えていく！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>貴方の冒険が進めば、攻略可能なダンジョンはどんどん増えていきます。<hex:02100103><hex:0248020F03>コンテンツサポーターに未対応のダンジョンやコンテンツ<hex:0248020103>には、<hex:02100103><hex:0248020F03>コンテンツファインダーを利用<hex:0248020103>して挑戦してみましょう！<hex:02100103><hex:02100103>また、攻略済みのダンジョンは、後から繰り返し再挑戦可能です。<hex:02100103><hex:0248020F03>メインコマンド<hex:0248020103>の<hex:0248020F03>「コンテンツ情報」<hex:0248020103>から<hex:0248020F03>「コンテンツファインダー」<hex:0248020103>や、<hex:02100103><hex:0248020F03>「コンテンツサポーター」<hex:0248020103>を利用して再挑戦できます。"
14,86810,"<hex:0248020803><hex:0249020403>もういちど説明を読みたくなったら<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>コンテンツファインダーやコンテンツサポーターのウィンドウを開いて、<hex:02100103><hex:0248020F03>「？」ボタンを押す<hex:0248020103>ことで、それぞれの解説を読むことができます。<hex:02100103><hex:02100103>このふたつの機能は、ストーリーを進めていく上で、とても重要な機能です！<hex:02100103>これらの機能を使って、快適に冒険を進めていきましょう！！"
15,86812,"<hex:0248020803><hex:0249020403>新しい形式のコンテンツ、ヴァリアントダンジョンが開放されました！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:0248020F03>ヴァリアントダンジョン<hex:0248020103>は、その場所にまつわる人物とともにダンジョン内の<hex:0248020F03>分岐したルート<hex:0248020103>を探検し、<hex:02100103>新たな<hex:0248020F03>物語を発見<hex:0248020103>していくという要素を持ったコンテンツです。<hex:02100103><hex:02100103>発見した物語は、ヴァリアントダンジョン専用の手記や記録といった形でひとつずつ綴られていきます。<hex:02100103><hex:02100103>ルートの中には、分岐する方法が隠されているものもあります。<hex:02100103>すべてのルートを発見し、隠された物語を明かしていきましょう。"
16,86812,"<hex:0248020803><hex:0249020403>攻略に行ける人数も自由<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>ヴァリアントダンジョンは1～4人いずれの人数でも遊べる様に<hex:02100103>難易度が<hex:0248020F03>自動調整<hex:0248020103>される仕組みが入っています。<hex:02100103><hex:02100103>気心が知れた仲間とパーティを組んで行くこともできますし、<hex:02100103>他のプレイヤーとマッチングを利用して一緒に攻略することも可能です。<hex:02100103>ひとりでの攻略も可能ですが、歯ごたえのある難易度となります。"
17,86813,"<hex:0248020803><hex:0249020403>ヴァリアントアクション<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>自由なロール構成で攻略が楽しめるように、ヴァリアントダンジョン内で<hex:02100103>使える特殊なアクション「<hex:0248020F03>ヴァリアントアクション<hex:0248020103>」が用意されています。<hex:02100103><hex:02100103>タンクやDPSロールでもヒーラーの役目ができるよう<hex:0248020F03>特別なケアルやレイズ<hex:0248020103>などがあり<hex:02100103>その他のロールについても同様の<hex:0248020F03>特別なアクション<hex:0248020103>が用意されています。<hex:02100103><hex:02100103>攻略中に使える2つのヴァリアントアクションは、いつでも専用メニューから組み換え可能です。"
18,86813,"<hex:0248020803><hex:0249020403>突入方法<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>ヴァリアントダンジョンへの突入は、<hex:0248020F03>入口のNPCに話しかける<hex:0248020103>か、または<hex:02100103>メインコマンド「コンテンツ情報」にある「<hex:0248020F03>特殊ダンジョン探索<hex:0248020103>」を選んで<hex:02100103>開かれる専用ウィンドウから行います。<hex:02100103><hex:02100103>ヴァリアントアクションの設定や、発見した物語を読むなど、特殊ダンジョン探索に<hex:02100103>関する操作は全てこちらからできるようになっています。"
19,86811,"<hex:0248020803><hex:0249020403>「無人島開拓」は、あなただけの無人島で自由な時間を満喫するコンテンツです！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>島内を探索して絶景ポイントを探したり、畑で作物を育てたり、動物を飼育したり、<hex:02100103>好きなことを楽しみながら、南の島での自分流の暮らしを送ってみましょう！"
20,86811,"<hex:0248020803><hex:0249020403>■クラス/ジョブに制約なし<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>クラフタークラスやギャザラークラスの経験がなくても、<hex:02100103>どのクラス・ジョブでも制約なくコンテンツをプレイできます。<hex:02100103><hex:02100103>お気に入りの装いで無人島開拓を楽しんでください！"
21,86811,"<hex:0248020803><hex:0249020403>■開拓経験値と開拓ランク<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>無人島内で活動することで「開拓経験値」が獲得でき、<hex:02100103>これを一定の値まで貯めることによって、「開拓ランク」が上昇します。<hex:02100103><hex:02100103>開拓ランクが上がることによって、無人島内でできることが、どんどん増えていきます。"
22,86811,"<hex:0248020803><hex:0249020403>■開拓目標<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>無人島内では、開拓目標という指針が表示されます。<hex:02100103>開拓目標に従って行動することで、無人島で次にできることが案内されます。<hex:02100103><hex:02100103>何をやれば良いのか迷ったときは、開拓目標を進めてみましょう。"
23,86814,"<hex:0248020803><hex:0249020403>「初心者の館」が開放されました！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>初心者の館とは、パーティを組んで戦う際の基本的な動き方を、<hex:02100103>ロールごとに学ぶことができる、1人用コンテンツです。<hex:02100103><hex:02100103>挑戦したい場合は、メインコマンドの「コンテンツ情報」から「初心者の館」を選択するか、<hex:02100103>「冒険者指導教官」に話しかけて『「初心者の館」に挑戦する』を選択することで突入できます。<hex:02100103><hex:02100103>コンテンツをコンプリートすれば装備を入手できるので、これからの冒険に備えて挑戦してみましょう！"
24,86815,"<hex:0248020803><hex:0249020403>初心者の館に訓練が追加されました！<hex:0249020103><hex:0248020103><hex:02100103>追加された訓練は、戦闘中に感じ取れる攻撃の予兆と、<hex:02100103>その対処法を学ぶことができる、1人用コンテンツです。<hex:02100103><hex:02100103>このコンテンツは、メインコマンドの「コンテンツ情報」や、<hex:02100103>「冒険者指導教官」から突入できる、「初心者の館」内のタブを変更することで挑戦できます。<hex:02100103><hex:02100103>戦闘に役立つ知識を得られるので、これからの冒険に備えて挑戦してみましょう！"
25,86817,"<hex:0248020803><hex:0249020403>■新たな探索型コンテンツ「蜃気楼の島 クレセントアイル」が追加されました！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>特殊な魔法結界に覆われた秘島を探索する「<hex:0248020F03>蜃気楼の島 クレセントアイル<hex:0248020103>」は、<hex:02100103>大人数での大規模ボスバトルや、島内に生息するモンスターとの少人数での連続戦闘など、<hex:02100103>プレイヤーごとに様々な遊び方ができる探索型のコンテンツです。<hex:02100103>コンテンツの特徴を理解し、蜃気楼の島に隠された謎に迫りましょう！<hex:02100103><hex:02100103>※次ページより、「蜃気楼の島 クレセントアイル」の特殊ルールの解説が行われます。<hex:02100103>ぜひご一読の上、新たな大規模コンテンツをお楽しみください。"
26,86818,"<hex:0248020803><hex:0249020403>■コンテンツ参加はレベル100以上のバトルクラスで！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>「蜃気楼の島 クレセントアイル」は、<hex:0248020F03>レベル100以上のバトルクラス<hex:0248020103>で突入可能です。<hex:02100103>必要とされる装備の<hex:0248020F03>平均アイテムレベルは690以上<hex:0248020103>で、<hex:02100103>コンテンツ内では<hex:0248020F03>アイテムレベルは700へとシンク<hex:0248020103>されます。<hex:02100103><hex:02100103>なお、コンテンツに突入した後でも、<hex:02100103>レベル100以上のほかのバトルクラスにチェンジすることが可能です。"
27,86819,"<hex:0248020803><hex:0249020403>■まずはナレッジレベルの上昇を目指そう！①<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>「蜃気楼の島 クレセントアイル」には、<hex:02100103>コンテンツ内専用のレベルである「<hex:0248020F03>ナレッジレベル<hex:0248020103>」が存在します。<hex:02100103>ナレッジレベルは、コンテンツ内で発生する大規模戦闘の攻略や、<hex:02100103>島内に生息するモンスターの討伐などで獲得できる「<hex:0248020F03>知見<hex:0248020103>」という経験値を、<hex:02100103>一定量貯めることで上昇していきます。"
28,86819,"<hex:0248020803><hex:0249020403>■まずはナレッジレベルの上昇を目指そう！②<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>ナレッジレベルは、島内に生息するモンスターとの戦闘の結果に大きく影響します。<hex:02100103>島内を自由に探索するためにも、まずはナレッジレベルの上昇を目指しましょう！<hex:02100103><hex:02100103>※戦闘時のナレッジレベルの差で、与えるダメージや受けるダメージが大きく増減します。<hex:02100103>戦う相手は注意深く選びましょう。"
29,86820,"<hex:0248020803><hex:0249020403>■大規模戦闘に参加してみよう！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>島内では、「<hex:0248020F03>クリティカルエンカウント<hex:0248020103>」と呼ばれる、<hex:02100103>最大72人での大規模戦闘が発生することがあります。<hex:02100103>見事攻略することができれば、大量の「知見」など様々な報酬を得られます。<hex:02100103>クリティカルエンカウントはナレッジレベルの影響を受けないため、積極的に参加してみましょう！<hex:02100103><hex:02100103>なお、島内ではデジョンのアクションが専用の<hex:0248020F03>デミデジョン<hex:0248020103>へと変わり<hex:02100103>リキャストタイムを気にせず拠点に戻ることができます。"
30,0,""
31,86816,"<hex:0248020803><hex:0249020403>「コスモエクスプローラー計画」に参加しました！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>「<hex:0248020F03>コスモエクスプローラー<hex:0248020103>」は、同じワールドのプレイヤーと協力しつつ、<hex:02100103>月面や宇宙の星々のフィールドを探索・発展させるコンテンツです！<hex:02100103><hex:02100103>製作・採集の技術を駆使し、惑星探索計画を進めていきましょう！<hex:02100103><hex:02100103>計画が進行することで、星々のフィールドに惑星探索のための様々な施設が増え、<hex:02100103>景観も変化していきます。"
32,86816,"<hex:0248020803><hex:0249020403>■参加可能クラスとレベルアジャスト<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>コスモエクスプローラーは、クラフター・ギャザラー向けのコンテンツです。<hex:02100103><hex:02100103>また、本コンテンツのメイン要素となる「コスモミッション」では「<hex:0248020F03>レベルアジャスト<hex:0248020103>」に対応しており、<hex:02100103>プレイヤーのレベルに応じて、難易度と報酬量が変化します。"
33,86816,"<hex:0248020803><hex:0249020403>■探索フィールドの特殊ルール<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>探索フィールドでは、セントラルクリスタルの力により、<hex:02100103>クラフター・ギャザラーの「スプリント」が「コスモスプリント」に変化し、<hex:02100103>速度と効果時間が強化されます。"
34,86816,"<hex:0248020803><hex:0249020403>■エクスプローラータブレットを触ってみよう！<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>コスモエクスプローラーでは、コスモミッション以外にも様々な要素があります。<hex:02100103>各要素の遊び方は「<hex:0248020F03>エクスプローラータブレット<hex:0249020103><hex:0248020103>」の「<hex:0248020F03>惑星探索のすすめ<hex:0249020103><hex:0248020103>」に記載されています。<hex:02100103><hex:02100103>わからないことがあった時は、エクスプローラータブレットを確認してみましょう！"
35,86816,"<hex:0248020803><hex:0249020403>■探索フィールドへの入場<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>コスモエクスプローラーは、コンテンツ専用の「探索フィールド」で進行します。<hex:02100103><hex:02100103>嘆きの海のベストウェイ・バローにいる「ドライビングウェイ」に話しかけることで、<hex:02100103>コスモエクスプローラーの各探索フィールドに移動することができます。<hex:02100103>また、ベストウェイ・バローのエーテライトからは、<hex:02100103>最新の探索フィールドへ移動することができます。<hex:02100103>探索フィールドは、混雑時には複数のインスタンスエリアが生成される事があります。"
